mpn,manufacturer,"product name","product  description ",price,stock,"stock description","product url","image url",category,"shipping rate"
L43422,Lakme,"K.Therapy Repair Shampooock Concentrate 8U X 8 ml","1. PRODUCT INFO : This intensive action concentratre nourishes and hydrates the hair deeply. Detangles and leaves hair feeling silky.2. FOR WHOM / WHAT : Deeply nourishes and strengthens the hair fibre.3. FOR WHAT / BENEFITS :● Avoids dehydration, protects the hair and provides shine.● Gives the hair a silky feeling and leaves it light and smooth.4. ABOUT THE COLLECTION:K.therapy are the products that fight against hair loss, dryness and damage, oily hair, flaking and sensitive scalps. The results will amaze you: beautiful, healthy hair.","67.16 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-repair-shampooock-concentrate-8u-x-8-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43422_1.jpg,Shampoo,L43422
L43432,Lakme,"K.Therapy Repair Repairing Gel 30 ml","1. PRODUCT INFO : A repair gel specifically for dry and damaged hair ends.2. FOR WHOM / USE : For dry and very dry hair.3. FOR WHAT / BENEFIT :• Protection from and resistance to breakage.• The hair recovers its softness, silkiness, and disentangling it and making is easier to comb.4. ABOUT THE COLLECTION :Repair is a line of products specific for dry and very dry hair. It is formulated with Aqua-oil complex, which combines natural Babassu and Macadamia oils with the long-term moisturizing properties of Hydromanil™.","41.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-repair-repairing-gel-30-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43432_1.jpg,"Hair Care",L43432
L43442,Lakme,"K.Therapy Repair Nourishing Shampooing Mask 250 ml","1. PRODUCT INFO : A mask that acts immediately to nourish and hydrate the scalp and dry hair.2. FOR WHOM / USE : For dry and very dry hair and scalp.3. FOR WHAT / BENEFIT :• Hydrates and nourishes dry and very dry hair and scalp.• Makes hair easier to comb.• Nourishes, softens and repairs hair and makes it shiny.• Reconstitutes the protective hydrolyptic layer.• Provides long term scalp comfort.• Hydrating sugar complex which is freed in sequence to capture the moisture in the skin.• Immediate and long-lasting hydrating effect.4. ABOUT THE COLLECTION : Repair is a line of products specific for dry and very dry hair. It is formulated with Aqua-oil complex, which combines natural Babassu and Macadamia oils with the long-term moisturizing properties of Hydromanil™.","33.20 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-repair-nourishing-shampooing-mask-250-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43442_1.jpg,Shampoo,L43442
L43443,Lakme,"K.Therapy Repair Nourishing Shampooing Mask 1000 ml","1. PRODUCT INFO : A mask that acts immediately to nourish and hydrate the scalp and dry hair.2. FOR WHOM / USE : For dry and very dry hair and scalp.3. FOR WHAT / BENEFIT :• Hydrates and nourishes dry and very dry hair and scalp.• Makes hair easier to comb.• Nourishes, softens and repairs hair and makes it shiny.• Reconstitutes the protective hydrolyptic layer.• Provides long term scalp comfort.• Hydrating sugar complex which is freed in sequence to capture the moisture in the skin.• Immediate and long-lasting hydrating effect.4. ABOUT THE COLLECTION : Repair is a line of products specific for dry and very dry hair. It is formulated with Aqua-oil complex, which combines natural Babassu and Macadamia oils with the long-term moisturizing properties of Hydromanil™.","82.36 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-repair-nourishing-shampooing-mask-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43443_1.jpg,Shampoo,L43443
L43512,Lakme,"K.Therapy Repair Conditioning Fluid 300 ml","Dry and very dry hairThe lack of lipids (sebum) and excessive loss of moisture from the scalp may be caused by internal or external factors. Weak sebaceous secretions and the continuous application of chemical processes damage the hair fiber until it becomes dehydrated. K.therapy REPAIR is a specific range of products for dry and very dry hair.PRODUCT FEATURES: Conditions and softens dry and very dry hair.Makes hair easier to comb.Provides long term scalp comfort.Immediate and long-lasting hydrating effect1. PRODUCT INFO : Nourishing conditioner for dry hair.2. FOR WHOM / USE :For dry hair.3. FOR WHAT / BENEFIT :• Conditions and softens dry and very dry hair.• Makes hair easier to comb.• Reconstitutes the protective hydrolyptic layer.• Provides long term scalp comfort.• Hydrating sugar complex which is freed in sequence to capture the moisture in the skin.• Immediate and long-lasting hydrating effect.4. ABOUT THE COLLECTION : Repair is a line of products specific for dry and very dry hair. It is formulated with Aqua-oil complex, which combines natural Babassu and Macadamia oils with the long-term moisturizing properties of Hydromanil™.","26.36 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-repair-conditioning-fluid-300-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43512_1.jpg,"Hair Care",L43512
L43612,Lakme,"K.Therapy Peeling Shampoo - Oily 300 ml","1. PRODUCT INFO : A dandruff shampoo which cleanses, regulates and tones the scalp. Specially formulated for greasy hair.2. FOR WHOM / USE :For those who struggle with dandruff and greasy hair.3. FOR WHAT / BENEFIT :• Eliminates dandruff flakes from the scalp.• Prevents reappearance and rebound effect.• Its gentle cleansing action allows it to be used every day.• pH neutral.• Active ingredients: Action: Benefit• Octopirox: Eliminates the micro-organisms responsible for the dandruff and normalises cellular renovation: Results in a clean and healthy scalp, without itching or flakiness.• Natural rosemary extract: Anti-oxidant, purifying and anti-inflammatory: Balances and tones the scalp. Water from the Zermatt glacier: water containing minerals and oligoelements with decongestant and natural properties which soften and protect the skin. Sweet-scented fragrance, fragrance with essential oil of rosemary.4. ABOUT THE COLLECTION :Peeling treats dandruff problems, eliminating the microorganisms causing the flaking and preventing their reappearance. Formulated with Octopirox™ and extracts of rosemary and sandalwood, which clean and tone the scalp.","22.00 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-peeling-shampoo-oily-300-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43612.jpg,Shampoo,L43612
L43613,Lakme,"K.Therapy Peeling Shampoo - Oily 1000 ml","1. PRODUCT INFO : A dandruff shampoo which cleanses, regulates and tones the scalp. Specially formulated for greasy hair.2. FOR WHOM / USE :For those who struggle with dandruff and greasy hair.3. FOR WHAT / BENEFIT :• Eliminates dandruff flakes from the scalp.• Prevents reappearance and rebound effect.• Its gentle cleansing action allows it to be used every day.• pH neutral.• Active ingredients: Action: Benefit• Octopirox: Eliminates the micro-organisms responsible for the dandruff and normalises cellular renovation: Results in a clean and healthy scalp, without itching or flakiness.• Natural rosemary extract: Anti-oxidant, purifying and anti-inflammatory: Balances and tones the scalp. Water from the Zermatt glacier: water containing minerals and oligoelements with decongestant and natural properties which soften and protect the skin. Sweet-scented fragrance, fragrance with essential oil of rosemary.4. ABOUT THE COLLECTION :Peeling treats dandruff problems, eliminating the microorganisms causing the flaking and preventing their reappearance. Formulated with Octopirox™ and extracts of rosemary and sandalwood, which clean and tone the scalp.","48.76 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-peeling-shampoo-oily-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43613_1.jpg,Shampoo,L43613
L43622,Lakme,"K.Therapy Peeling Shock Gel 6U. X 15 ml","1. PRODUCT INFO : Intensive overall shock treatment for dandruff which eliminates the flakes from the scalp and prevents their reappearance. Gel based.2. FOR WHOM / USE : For those struggling with dandruff.3. FOR WHAT / BENEFIT :• Cleanses gently and eliminates dandruff without irritating the scalp.• Prevents reappearance of dandruff.• Active ingredients: Action: Benefit• Octopirox: Eliminates the micro-organisms responsible the dandruff and normalises cellular renovation: Results in a clean for and healthy scalp, without itching or flakiness.• Natural rosemary extract: Anti-oxidant, purifying and anti-inflammatory: Balances and tones the scalp. Water from the Zermatt glacier: Water containing minerals and oligoelements with decongestant and natural properties which soften and protect the skin. Sweet-scented fragrance, fragrance with essential oil of rosemary.4. ABOUT THE COLLECTION : Peeling treats dandruff problems, eliminating the microorganisms causing the flaking and preventing their reappearance. Formulated with Octopirox™ and extracts of rosemary and sandalwood, which clean and tone the scalp.","49.20 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-peeling-shock-gel-6u-x-15-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43622_1.jpg,"Scalp Treatments",L43622
L43712,Lakme,"K.Therapy Peeling Shampoo - Dry 300 ml","1. PRODUCT INFO : A dandruff shampoo which cleanses, regulates and tones the scalp. Specifically formulated for dry hair.2. FOR WHOM / USE : For those who struggle with dandruff and dry hair.3. FOR WHAT / BENEFIT :• A dandruff shampoo which cleanses, regulates and tones the scalp. • Specially formulated for dry hair. Eliminates dandruff flakes from the scalp. • Prevents reappearance and rebound effect. Thanks to its gentle cleansing action it can be used every day. • pH neutral. • Active ingredients: Action: Benefit• Octopirox: Eliminates the micro-organisms responsible for the dandruff and normalises cellular renovation: Results in a clean and healthy scalp, without itching or flakiness.• Red sandalwood extract (from India): Anti-inflammatory and regenerating: Balances and conditions the scalp. Water from the Zermatt glacier: Water containing minerals and oligoelements with decongestant and natural properties which soften and protect the skin. Sweet-scented fragrance, fragrance with essential oil of rosemary.4. ABOUT THE COLLECTION : Peeling treats dandruff problems, eliminating the microorganisms causing the flaking and preventing their reappearance. Formulated with Octopirox™ and extracts of rosemary and sandalwood, which clean and tone the scalp.","22.00 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-peeling-shampoo-dry-300-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43712_1.jpg,Shampoo,L43712
L43713,Lakme,"K.Therapy  Peeling Shampoo - Dry 1000 ml","1. PRODUCT INFO : A dandruff shampoo which cleanses, regulates and tones the scalp. Specifically formulated for dry hair.2. FOR WHOM / USE : For those who struggle with dandruff and dry hair.3. FOR WHAT / BENEFIT :• A dandruff shampoo which cleanses, regulates and tones the scalp. • Specially formulated for dry hair. Eliminates dandruff flakes from the scalp. • Prevents reappearance and rebound effect. Thanks to its gentle cleansing action it can be used every day. • pH neutral. • Active ingredients: Action: Benefit• Octopirox: Eliminates the micro-organisms responsible for the dandruff and normalises cellular renovation: Results in a clean and healthy scalp, without itching or flakiness.• Red sandalwood extract (from India): Anti-inflammatory and regenerating: Balances and conditions the scalp. Water from the Zermatt glacier: Water containing minerals and oligoelements with decongestant and natural properties which soften and protect the skin. Sweet-scented fragrance, fragrance with essential oil of rosemary.4. ABOUT THE COLLECTION : Peeling treats dandruff problems, eliminating the microorganisms causing the flaking and preventing their reappearance. Formulated with Octopirox™ and extracts of rosemary and sandalwood, which clean and tone the scalp.","48.76 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-peeling-shampoo-dry-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43713_1.jpg,Shampoo,L43713
L44011,Lakme,"LAKME TEKNIA WHITE SILVER SHAMPOO 1000 ML","1. PRODUCT INFO :Toning shampoo. Cleans and eliminates yellow highlights in white hair.Neutralizes undesirable warm tones.Hydrates and revives shine.2. FOR WHOM / USE :Toning shampoo for blonde, highlights and white hair3. FOR WHAT / BENEFITS :● Emollient and moisturizing● Moisturized and soft hair● Conditioner and protective effect● Extra soft, easy-to-comb hair. Protects the scalp4. ABOUT THE COLLECTION :Beautiful white, gray or blond hair is in high demand because it reflects luminosity and has a radiant shine. These hair colors are glamorous and have a unique personality. The appearance of yellow or overly warm tones can ruin that coveted image. It’s essential to counteract these undesirable tones and recover the original color. WHITE SILVER gives blonde hair back its clarity and cool luminosity. It neutralizes and eliminates unwanted yellow highlights from white hair. It enriches, hydrates and revives the hair’s purity and shine. Its formula with organic white lotus flower gives softness, hydration and a purity and intense shine to natural hair.","50.80 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-white-silver-shampoo-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44011_1_1000x1000.jpg,"No Yellow Shampoo",L44011
L44012,Lakme,"Lakme Teknia White Silver Shampoo 300 mL","1. PRODUCT INFO :Toning shampoo. Cleans and eliminates yellow highlights in white hair.Neutralizes undesirable warm tones.Hydrates and revives shine.2. FOR WHOM / USE :Toning shampoo for blonde, highlights and white hair3. FOR WHAT / BENEFITS :● Emollient and moisturizing● Moisturized and soft hair● Conditioner and protective effect● Extra soft, easy-to-comb hair. Protects the scalp4. ABOUT THE COLLECTION :Beautiful white, gray or blond hair is in high demand because it reflects luminosity and has a radiant shine. These hair colors are glamorous and have a unique personality. The appearance of yellow or overly warm tones can ruin that coveted image. It’s essential to counteract these undesirable tones and recover the original color. WHITE SILVER gives blonde hair back its clarity and cool luminosity. It neutralizes and eliminates unwanted yellow highlights from white hair. It enriches, hydrates and revives the hair’s purity and shine. Its formula with organic white lotus flower gives softness, hydration and a purity and intense shine to natural hair.","25.20 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-white-silver-shampoo-300-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44012_1_1000x1000.jpg,"No Yellow Shampoo",L44012
L44021,Lakme,"LAKME TEKNIA WHITE SILVER MASK 1000 ML","1. INFORMATION DU PRODUIT :Masque brillance. Répare et protège tous les types de cheveux blonds. Enrichi avec des céramides, il adoucit la fibre capillaire et apporte de la légèreté. Les cheveux retrouvent leur brillance naturelle et leur luminosité.2. POUR QUI / UTILISATION :Masque brillance pour cheveux blonds, à mèches et pour cheveux blancs.3. POUR QUOI / BÉNÉFICES :● Émollient et hydratant.● Cheveux hydratés et doux.● Agit en tant que ciment cellulaire des fibres de kératine et restructure la fibre capillaire abîmée.● Reconstruit la fibre capillaire de l’intérieur.4. À PROPOS DE LA COLLECTION:La beauté des cheveux blancs, gris ou blond est très recherchée car elle est synonyme de luminosité et brillance. Ce sont des cheveux qui dégagent glamour et une personnalité singulière. L’apparition de reflets jaunâtres ou trop chauds peut ternir cette image tant convoitée. Ces tonalités indésirables doivent être neutralisées pour récupérer la couleur d’origine. WHITE SILVER ravive la clarté, la luminosité et le ton froid des cheveux blonds. Il neutralise et élimine les reflets jaunes indésirables sur les cheveux blancs. Il enrichit, hydrate les cheveux et ravive leur pureté et leur brillance. Il est formulé à base de fleur de lotus blanc biologique qui apporte douceur, hydratation ainsi que la pureté et la brillance intense du cheveu naturel.","77.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-white-silver-mask-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44021_1_1000x1000.jpg,"Hair Care",L44021
L44022,Lakme,"LAKME TEKNIA WHITE SILVER MASK 250 ML","1. PRODUCT INFO : Brightening mask. Repairs and protects all types of blonde hair. It enriches with ceramides, softens the hair fiber and gives lightness. Hair recovers its natural shine and luminosity.2. FOR WHOM / USE :Brightening mask for blonde, highlights and white hair3.FOR WHAT / BENEFITS : ● Emollient and moisturizing● Moisturized and soft hair● Acts as cellular concrete in keratin and restructures damaged hair fiber● Rebuilds hair fiber from within4. ABOUT THE COLLECTION : Beautiful white, gray or blond hair is in high demand because it reflects luminosity and has a radiant shine. These hair colors are glamorous and have a unique personality. The appearance of yellow or overly warm tones can ruin that coveted image. It’s essential to counteract these undesirable tones and recover the original color. WHITE SILVER gives blonde hair back its clarity and cool luminosity. It neutralizes and eliminates unwanted yellow highlights from white hair. It enriches, hydrates and revives the hair’s purity and shine. Its formula with organic white lotus flower gives softness, hydration and a purity and intense shine to natural hair.","36.40 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-white-silver-mask-250-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44022_1_1000x1000.jpg,"Hair Care",L44022
L44111,Lakme,"LAKME TEKNIA ORGANIC BALANCE SHAMPOO 1000 ML","1. PRODUCT INFO:Hydra Shampoo, formulated without sulfates, with 93% naturally derived ingredients, for a gentle wash and daily use. It is enriched with sea water from Brittany, which has a high mineral content that adds moisture and keeps your hair looking healthy.2. FOR WHOM / USE :Hydra shampoo for all hair types3. FOR WHAT / BENEFITS :● Moisturizing. ● Healthy, moisturized and protected hair and scalp. ● Softening. ● Silky, shiny and lightweight hair.4. ABOUT THE COLLECTION :Caring for your hair and boosting its natural beauty with organic and natural cosmetic products has become a life philosophy that is becoming more widespread every day. As this consciousness spreads, professionals and consumers are moving away from sophistication, opting instead for natural products and sustainability.The desire for natural and organic products is growing, supporting responsible and ethical consumption.The goal is to find products that are free from synthetic ingredients, silicones and that are biodegradable.Hair requires delicate, daily care to maintain and boost its original, nude condition and to keep it healthy. This range hydrates and maintains the natural, healthy balance of your hair. ORGANIC BALANCE offers products made from up to 99% organic ingredients.","61.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-organic-balance-shampoo-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44111_1_1000x1000.jpg,"TOP SELLERS",L44111
L44112,Lakme,"LAKME TEKNIA ORGANIC BALANCE SHAMPOO 300 ML","1. PRODUCT INFO:Hydra Shampoo, formulated without sulfates, with 93% naturally derived ingredients, for a gentle wash and daily use. It is enriched with sea water from Brittany, which has a high mineral content that adds moisture and keeps your hair looking healthy.2. FOR WHOM / USE :Hydra shampoo for all hair types3. FOR WHAT / BENEFITS :● Moisturizing. ● Healthy, moisturized and protected hair and scalp. ● Softening. ● Silky, shiny and lightweight hair.4. ABOUT THE COLLECTION :Caring for your hair and boosting its natural beauty with organic and natural cosmetic products has become a life philosophy that is becoming more widespread every day. As this consciousness spreads, professionals and consumers are moving away from sophistication, opting instead for natural products and sustainability.The desire for natural and organic products is growing, supporting responsible and ethical consumption.The goal is to find products that are free from synthetic ingredients, silicones and that are biodegradable.Hair requires delicate, daily care to maintain and boost its original, nude condition and to keep it healthy. This range hydrates and maintains the natural, healthy balance of your hair. ORGANIC BALANCE offers products made from up to 99% organic ingredients.","26.36 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-organic-balance-shampoo-300-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l44112.jpg,"TOP SELLERS",L44112
L44117,Lakme,"Teknia Travel Pack Organic Balance","TEKNIAORGANIC BALANCETRAVEL PACK INCLUDES:1X ORGANIC BALANCE SHAMPOO 100ML1X ORGANIC BALANCE TREATMENT 50ML","35.96 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/teknia-travel-pack-organic-balance,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l44117.jpg,"Hair Care",L44117
L44123,Lakme,"LAKME TEKNIA ORGANIC BALANCE HYDRA-OIL 200 ML","1. PRODUCT INFO :Silicone-free, two-phase conditioner that nourishes and protects the surface of the hair. Instantly detangles and leaves the hair with a natural silkiness. This is one of the most innovative products in this organic range and it gives spectacular results. It contains as much as 99% naturally derived ingredients.2. FOR WHOM / USE :Double rinse-free conditioner for all hair types.3. FOR WHAT / BENEFITS :● Moisturizing● Healthy, moisturized and protected hair and scalp● Intensely nourishing● Natural looking, non-greasy hair● Softening● Silky, shiny and lightweight hair4. ABOUT THE COLLECTION :Caring for your hair and boosting its natural beauty with organic and natural cosmetic products has become a life philosophy that is becoming more widespread every day. As this consciousness spreads, professionals and consumers are moving away from sophistication, opting instead for natural products and sustainability.The desire for natural and organic products is growing, supporting responsible and ethical consumption.The goal is to find products that are free from synthetic ingredients, silicones and that are biodegradable.Hair requires delicate, daily care to maintain and boost its original, nude condition and to keep it healthy. This range hydrates and maintains the natural, healthy balance of your hair. ORGANIC BALANCE offers products made from up to 99% organic ingredients.","37.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-organic-balance-hydra-oil-200-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44123_1_1000x1000.jpg,"Hydrating Treatment",L44123
L44131,Lakme,"LAKME TEKNIA ORGANIC BALANCE TREATMENT 1000 ML","1. PRODUCT INFO:Hydra Shampoo, formulated without sulfates, with 93% naturally derived ingredients, for a gentle wash and daily use. It is enriched with sea water from Brittany, which has a high mineral content that adds moisture and keeps your hair looking healthy.2. FOR WHOM / USE : Intense moisturizing treatment for all hair types.3. FOR WHAT / BENEFITS : ● Moisturizing.● Healthy, moisturized and protected hair and scalp.● Softening.● Silky, shiny and lightweight hair.4. ABOUT THE COLLECTION : Caring for your hair and boosting its natural beauty with organic and natural cosmetic products has become a life philosophy that is becoming more widespread every day. As this consciousness spreads, professionals and consumers are moving away from sophistication, opting instead for natural products and sustainability.The desire for natural and organic products is growing, supporting responsible and ethical consumption.The goal is to find products that are free from synthetic ingredients, silicones and that are biodegradable.Hair requires delicate, daily care to maintain and boost its original, nude condition and to keep it healthy. This range hydrates and maintains the natural, healthy balance of your hair. ORGANIC BALANCE offers products made from up to 99% organic ingredients.","101.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-organic-balance-treatment-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44131_1_1000x1000.jpg,"Hydrating Treatment",L44131
L44132,Lakme,"LAKME TEKNIA ORGANIC BALANCE TREATMENT 250 ML","1. PRODUCT INFO :Hydra Shampoo, formulated without sulfates, with 93% naturally derived ingredients, for a gentle wash and daily use. It is enriched with sea water from Brittany, which has a high mineral content that adds moisture and keeps your hair looking healthy.2. FOR WHOM / USE :Intense moisturizing treatment for all hair types.3. FOR WHAT / BENEFITS?● Moisturizing.● Healthy, moisturized and protected hair and scalp. ● Softening. ● Silky, shiny and lightweight hair.4. ABOUT THE COLLECTION:Caring for your hair and boosting its natural beauty with organic and natural cosmetic products has become a life philosophy that is becoming more widespread every day. As this consciousness spreads, professionals and consumers are moving away from sophistication, opting instead for natural products and sustainability. The desire for natural and organic products is growing, supporting responsible and ethical consumption. The goal is to find products that are free from synthetic ingredients, silicones and that are biodegradable. Hair requires delicate, daily care to maintain and boost its original, nude condition and to keep it healthy. This range hydrates and maintains the natural, healthy balance of your hair. ORGANIC BALANCE offers products made from up to 99% organic ingredients.","40.76 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-organic-balance-treatment-250-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44132_1_1000x1000.jpg,"Hydrating Treatment",L44132
L44143,Lakme,"LAKME TEKNIA ORGANIC BALANCE OIL 100 ML","1. PRODUCT INFO:This oil contains 99% naturally derived ingredients.It is formulated from pure, organic, virgin oil, rich in Omega-3 that nourishes and softens the hair and skin. It’s dry oil texture, not oily, and it is easily absorbed into the hair. When applied as a body oil, it offers a soft and smooth texture.2. FOR WHOM / USE : Essential kendi oil for all hair types and can be used as a body oil.3. FOR WHAT / BENEFITS :● Nourishes and softens the hair and scalp. ● Suitable for use as body oil.● Restores the hair’s softness with a natural look.● Non-greasy oil that absorbs quickly.4. ABOUT THE COLLECTION :Caring for your hair and boosting its natural beauty with organic and natural cosmetic products has become a life philosophy that is becoming more widespread every day. As this consciousness spreads, professionals and consumers are moving away from sophistication, opting instead for natural products and sustainability.The desire for natural and organic products is growing, supporting responsible and ethical consumption.The goal is to find products that are free from synthetic ingredients, silicones and that are biodegradable.Hair requires delicate, daily care to maintain and boost its original, nude condition and to keep it healthy. This range hydrates and maintains the natural, healthy balance of your hair. ORGANIC BALANCE offers products made from up to 99% organic ingredients.","46.00 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-organic-balance-oil-100-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44143_1_1000x1000.jpg,"Hydrating Treatment",L44143
L44212,Lakme,"LAKME TEKNIA REFRESH COCOA BROWN SHAMPOO 300 ML","1. PRODUCT INFO :Cocoa Brown is ideal for brunette colored hair. Its formula is rich in organic cacao butter extract. Its antioxidant properties protect the hair from UV rays and from environmental stress.2. FOR WHOM / USE :Color refreshing shampoo for brown colored hair3. FOR WHAT / BENEFITS :● Antioxidant and coloring properties. Protects color● Soft hair with vibrant color● Conditioner and protective effect● Extra soft, easy-to-comb hair. Protects the scalp● Provides color● Hair recovers the richness of its color and highlight4. ABOUT THE COLLECTION :The Color Refresh products by Teknia are the faithful ally of colored hair. They revive, prolong color and add an extraordinary touch of shine. Color Refresh offers the primary nutrients, antioxidant properties and pigments to protect and recover the hair’s beauty.This range is made up of Color Refresh Shampoo and Color Refresh Treatment Mask. These products are recommended as part of your color care ritual. Each product offers specific pigments that complement one another. The shampoo compensates for the loss of hair dye, provides greater color and prepares the hair for the mask. The color recovers its shine and the richness of its highlights.The mask rebuilds the internal fiber of the hair. Its primary function is to treat, restore and protect. It complements the added color and prolongs its intensity.","25.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-refresh-cocoa-brown-shampoo-300-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44212_1_1000x1000.jpg,"Color Reviving Shampoo",L44212
L44222,Lakme,"LAKME TEKNIA REFRESH COCOA BROWN MASK 250 ML","1. PRODUCT INFO :Cocoa Brown is ideal for brunette colored hair. Its formula is rich in organic cacao butter extract. Its antioxidant properties protect the hair from UV rays and from environmental stress.2. FOR WHOM / USE :Color refreshing mask for brown colored hair3. FOR WHAT / BENEFITS :● Antioxidant and coloring properties. Protects color● Soft hair with vibrant color● Acts as cellular concrete in keratin and restructures damaged hair fiber● Rebuilds hair fiber from within● Provides color● Hair recovers the richness of its color and highlights4. ABOUT THE COLLECTION :The Color Refresh products by Teknia are the faithful ally of colored hair. They revive, prolong color and add an extraordinary touch of shine. Color Refresh offers the primary nutrients, antioxidant properties and pigments to protect and recover the hair’s beauty.This range is made up of Color Refresh Shampoo and Color Refresh Treatment Mask. These products are recommended as part of your color care ritual. Each product offers specific pigments that complement one another. The shampoo compensates for the loss of hair dye, provides greater color and prepares the hair for the mask. The color recovers its shine and the richness of its highlights.The mask rebuilds the internal fiber of the hair. Its primary function is to treat, restore and protect. It complements the added color and prolongs its intensity.","37.20 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-refresh-cocoa-brown-mask-250-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44222_1_1000x1000.jpg,"Colored Mask",L44222
L44232,Lakme,"LAKME TEKNIA REFRESH CORAL RED SHAMPOO 300 ML","1. PRODUCT INFO :Coral Red is designed for reddish and mahogany colored hair. It is formulated from red algae from the Baltic sea, an ingredient which is highly hydrating and that restores and conditions the fiber.2. FOR WHOM / USE :Color refreshing shampoo for reddish and mahogany colored hair3. FOR WHAT / BENEFITS :● Creates a protective film.● Conditioner and protective effect● Extra soft, easy-to-comb hair. Protects the scalp● Provides color● Hair recovers the richness of its color and highlights4. ABOUT THE COLLECTION :The Color Refresh products by Teknia are the faithful ally of colored hair. They revive, prolong color and add an extraordinary touch of shine. Color Refresh offers the primary nutrients, antioxidant properties and pigments to protect and recover the hair’s beauty.This range is made up of Color Refresh Shampoo and Color Refresh Treatment Mask. These products are recommended as part of your color care ritual. Each product offers specific pigments that complement one another. The shampoo compensates for the loss of hair dye, provides greater color and prepares the hair for the mask. The color recovers its shine and the richness of its highlights.The mask rebuilds the internal fiber of the hair. Its primary function is to treat, restore and protect. It complements the added color and prolongs its intensity.","25.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/lakme-teknia-refresh-coral-red-shampoo-300-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/4/4/44232_1_1000x1000.jpg,"Color Reviving Shampoo",L44232
